compound,modelseed,bigg
D-Glyceraldehyde,cpd00448,glyald
"meso-2,6-Diaminopimelate",cpd00516,26dap__M
Mercury,cpd00531,hg2
Siroheme,cpd00557,sheme
L-Idonate,cpd00573,idon__L
D-Glucarate,cpd00609,glcr
Cob(I)alamin,cpd00635,cbl1
D-Methionine,cpd00637,met__D
Pantothenic acid;Pantothenate,cpd00644,pnto__R
D-Mucic acid,cpd00652,galct__D
D-Galactonate,cpd00653,galctn__D
Deoxycytidine,cpd00654,dcyt
Nitrous oxide,cpd00659,n2o
Choline sulfate,cpd00681,chols
Thiamine phosphate,cpd00793,thmmp
(R)-3-Hydroxybutanoate,cpd00797,bhb
Trimethylamine N-oxide,cpd00811,tmao
Provitamin D3,cpd00857,vitd3
Sodium,cpd00971,na1
Cadmium,cpd01012,cd2
Cyanate,cpd01015,cynt
Cys-Gly,cpd01017,cgly
Arsenate,cpd01048,aso4
Allantoin,cpd01092,alltn
Decanoate,cpd01107,dca
Hexanoate,cpd01113,hxa
Linoleate,cpd01122,lnlc
Cadaverine,cpd01155,15dap
Dulcose,cpd01171,galt
Lanosterol,cpd01188,lanost
Xanthosine,cpd01217,xtsn
Thyminose,cpd01242,drib
Amylotriose,cpd01262,malttr
Maltotetraose,cpd01399,maltttr
Vitamin E,cpd01628,avite1
Dodecanoic acid,cpd01741,ddca
L-Fucose 1-phosphate,cpd01912,fuc1p__L
5-Methylthio-D-ribose,cpd01981,5mtr
Bactoprenyl diphosphate,cpd02229,udcpdp
Isethionate,cpd03048,isetac
Deoxyinosine,cpd03279,din
Phenylpropanoate,cpd03343,pppn
Selenate,cpd03396,sel
kdo2-lipid iva,cpd03586,kdo2lipid4
Ursin,cpd03696,arbt
Ferrichrome,cpd03724,fecrm
octanoate,cpd03846,octa
Myristic acid,cpd03847,ttdca
Arachidic acid,cpd03848,arach
Arsenite,cpd04098,aso3
Dimethyl sulfoxide,cpd08021,dmso
methanesulfonate,cpd08023,mso3
crotonobetaine,cpd08305,ctbt
Butyro-betaine,cpd08306,gbbtn
Sulfoacetate,cpd09878,sulfac
fe3;iron,cpd10516,fe3
Molybdate,cpd11574,mobd
MOPS,cpd11575,mops
hexanesulfonate,cpd11578,hexs
ethanesulfonate,cpd11579,ethso3
gly-pro-L,cpd11588,glypro
chromate,cpd11595,cro4
butanesulfonate,cpd11596,butso3
ARSENOBETAINE,cpd11597,arsenb
Pectin,cpd11601,pect
Menaquinone 7,cpd11606,mqn7
hexadecenoate,cpd15237,hdcea
octadecenoate,cpd15269,ocdcea
tetradecenoate,cpd15298,ttdcea
