,0,0.1,0.1.1,0.1.1.1,0
10FTHFGLULL,0.9992754,0.99942195,0.99870455,0.999466,0.9997224
10M3HDHL,0.9954686,0.9978002,0.99833494,0.99615747,0.99618226
10M3OACPO,0.9995505,0.9989011,0.999124,0.99899274,0.9993718
10M3OUO,0.99943215,0.9986197,0.99892837,0.9987446,0.9992161
10MDOD,0.998066,0.99270093,0.9954501,0.9965945,0.9956002
10MTDAO,0.99943215,0.9986197,0.99892837,0.9987446,0.9992161
10MTU2A,0.99943215,0.9986197,0.99892837,0.9987446,0.9992161
10MUAM,0.998066,0.99270093,0.9954501,0.9965945,0.9956002
11DOCRTSLte,0.9989722,0.99965703,0.99969625,0.99945325,0.9996654
11DOCRTSTRNte,0.9989722,0.99965703,0.99969625,0.99945325,0.9996654
11M3ODO,0.99943215,0.9986197,0.99892837,0.9987446,0.9992161
11MDAMCA,0.998066,0.99270093,0.9954501,0.9965945,0.9956002
11MHDOD,0.9954686,0.9978002,0.99833494,0.99615747,0.99618226
11MTRDOC,0.99943215,0.9986197,0.99892837,0.9987446,0.9992161
12DGR181tipp,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
12DHCHOLabc,0.9989722,0.99965703,0.99969625,0.99945325,0.9996654
12DHCHOLt,1.2486909e-05,3.0451602e-05,5.024458e-05,4.283435e-05,2.8137258e-05
12DHCHOLt2,0.00620559,0.0008699495,0.06360216,0.0010322498,0.00022062214
12HARACHDte,0.9989722,0.99965703,0.99969625,0.99945325,0.9996654
12HPETATP,0.9989722,0.99965703,0.99969625,0.99945325,0.9996654
12HPETUPKt,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
12HTACRtep,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
12HTACRtu,0.9989722,0.99965703,0.99969625,0.99945325,0.9996654
12M3HTDH,0.9954686,0.9978002,0.99833494,0.99615747,0.99618226
12M3HTHL,0.9954686,0.9978002,0.99833494,0.99615747,0.99618226
12M3OXOT,0.99943215,0.9986197,0.99892837,0.9987446,0.9992161
12M3TDA,0.99943215,0.9986197,0.99892837,0.9987446,0.9992161
12MGDG160,0.062034376,0.08366964,0.026461387,0.028140673,0.018886212
12MGDG161,0.059400965,0.08684034,0.026669793,0.02883038,0.0199538
12MGDG180,0.058906287,0.073129036,0.025712883,0.03081855,0.015547822
12MGDG181,0.037918188,0.054951254,0.019607779,0.023162186,0.013131822
12MGDG181_9,0.037918188,0.054951254,0.019607782,0.023162177,0.013131816
12MGDG182_9_12,0.03791816,0.054951243,0.019607779,0.023162177,0.013131827
12MGDG183_6_9_12,0.03791818,0.054951232,0.019607779,0.023162164,0.013131816
12MGDG183_9_12_15,0.037918188,0.054951243,0.019607773,0.023162186,0.013131816
12MGDG184_6_9_12_15,0.037918195,0.054951243,0.019607779,0.023162186,0.013131822
12MTACPM,0.998066,0.99270093,0.9954501,0.9965945,0.9956002
12MTT2E,0.99943215,0.9986197,0.99892837,0.9987446,0.9992161
12PPDRDH,0.9954686,0.9978002,0.99833494,0.99615747,0.99618226
12PPDRte,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
12PPDRtex,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
12PPDRtpp,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
12PPDStex,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
12PPDStpp,0.0014909116,0.006640534,0.020964785,0.011000314,0.00012347203
12PPDt,0.0014909116,0.006640534,0.020964785,0.011000314,0.00012347203
12TTACA,0.99943215,0.9986197,0.99892837,0.9987446,0.9992161
12dgr2_ST,0.00018091092,0.00045340546,0.00020231745,0.00016563713,0.00022846834
1331TACRteb,0.9989722,0.99965703,0.99969625,0.99945325,0.9996654
1331TACRtev,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
13BGH,0.9999424,0.99954635,0.9997248,0.99971086,0.9998441
13BGHe,0.9978751,0.94850904,0.99914587,0.9897484,0.9983827
13DAMPPOX,0.57847244,0.9834826,0.68604606,0.50896305,0.9133652
13DAMPPabcpp,0.9989722,0.99965703,0.99969625,0.99945325,0.9996654
13DAMPPte,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
13DAMPPtex,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
13DMTtep,0.8962222,0.89243436,0.91320163,0.94837475,0.9290998
13DMTtu,0.9989722,0.99965703,0.99969625,0.99945325,0.9996654
13GS,0.99235487,0.98620343,0.92179567,0.7651321,0.91503596
13HODEOR,0.9993942,0.9978284,0.9993667,0.99645585,0.998816
13HPODEDH,0.9984682,0.9981805,0.99803585,0.9984699,0.9982443
