,0,0.1,0.1.1,0.1.1.1,0
1513TACRtep,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
1513TACRtu,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
1531TACRteb,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
1531TACRtev,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
15DAPabcpp,0.99969447,0.99981755,0.99891996,0.9997609,0.9998154
15DMTtep,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
15DMTtu,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
15HPETATP,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
15HPETUPKt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
15KPROSTGF2c,0.99682295,0.9992322,0.99837804,0.9984841,0.9986304
15KPROSTGF2t,7.644044e-06,3.775209e-05,1.4178716e-05,1.15172015e-05,1.4847286e-05
15M3HEXDA,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
15M3OHAO,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
15MHDAAD,0.99660826,0.9979862,0.9924958,0.99556184,0.9828661
15MTHACP,0.9972306,0.9991211,0.99900657,0.99916697,0.9970783
16GS,0.9998889,0.99987507,0.9997085,0.9996886,0.9997696
16M3HDEC,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
16M3HPAHL,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
16M3OHO,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
16M3OP,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
16MTHEAO,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
16MTP2EA,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
17AHPRGNLONEte,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
17AHPRGSTRNte,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
17M3HDEC,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
17M3OHO,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
17MTHEAO,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
18HARACHDte,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
1A25DHVITD3te,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
1A25HVITD2t,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
1AGPEAT1801819Z,0.00012590566,0.0011166502,0.0005852136,0.00083334226,0.0019541301
1AGPEAT1801829Z12Z,0.00012590566,0.0011166502,0.0005852136,0.00083334226,0.0019541301
1AGPEAT1801835Z9Z12Z,0.00012590566,0.0011166508,0.0005852136,0.00083334144,0.0019541301
1AGPEAT1801845Z9Z12Z15Z,0.00012590566,0.0011166502,0.0005852136,0.00083334144,0.0019541283
1AGPEAT18111Z1819Z,0.00012590566,0.0011166508,0.0005852136,0.00083334144,0.0019541301
1AGPEAT18111Z1829Z12Z,0.00012590566,0.0011166508,0.0005852136,0.00083334144,0.0019541301
1AGPEAT18111Z1835Z9Z12Z,0.00012590566,0.0011166508,0.0005852136,0.00083334144,0.0019541301
1AGPEAT18111Z1845Z9Z12Z15Z,0.00012590566,0.0011166508,0.0005852136,0.00083334144,0.0019541301
1AGPEAT1819Z1819Z,0.00012590566,0.0011166508,0.0005852136,0.00083334144,0.0019541301
1AGPEAT1819Z1829Z12Z,0.00012590566,0.0011166502,0.0005852136,0.00083334226,0.0019541301
1AGPEAT1819Z1835Z9Z12Z,0.00012590566,0.0011166502,0.0005852136,0.00083334226,0.0019541301
1AGPEAT1819Z1845Z9Z12Z15Z,0.00012590566,0.0011166508,0.0005852136,0.00083334144,0.0019541301
1AGPEAT1829Z12Z1835Z9Z12Z,0.00012590566,0.0011166508,0.0005852136,0.00083334144,0.0019541301
1HIBUPGLUC_Sthv,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
1HIBUP_Sthv,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
1HMDZGLUChc,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
1MNCAMt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
1MNCAMti,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
1OHMDZtep,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
1P2CBXLCYCL,0.9993445,0.9995505,0.99668497,0.9990854,0.99895525
1P2CBXLR,0.9989599,0.99964523,0.9995414,0.99964166,0.99876714
1PPDCRc,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
1PPDCRp_1,0.99682295,0.9992322,0.99837804,0.9984841,0.9986304
1PQQS,0.92307514,0.6928461,0.9381672,0.7365506,0.95724523
1PY4h3cAH,0.99781203,0.9994947,0.9975483,0.99803454,0.9981578
21HPRGNLONE,0.9995185,0.9996044,0.99952304,0.999708,0.99977
21HPRGNLONEt1,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
21HPRGNLONEt2,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
23CAPPD,0.9993445,0.9995505,0.99668497,0.9990854,0.99895525
23CN2P1,0.9993445,0.9995505,0.99668497,0.9990854,0.99895525
