,predicted_scores,similarity_scores
NTRIR2y,0.9998694799999999,0.952580940426825
FAH3,0.9998694519999999,0.8099270316110682
NITR,0.999868902,0.7382950750947619
H2ASE_syn,0.999868878,0.8488811979765338
FAS140ACP,0.9998685939999999,0.95385238079195
OXGDC,0.9998667940000001,0.6859943405700353
LO,0.999866498,0.5773402324173663
SUCCt2_2,0.9998655120000001,0.9486832980505138
SUCCt2_3,0.9998655120000001,0.8944271909999159
SUCCt3,0.9998655120000001,0.6620870758628552
SERDC,0.9998641879999999,0.6859943405700353
G3PCT,0.999864054,0.7744799369468508
AP5AH,0.999862906,0.7825990088689614
PDH2,0.9998626319999999,0.7142750707793218
GDH1,0.999862388,0.813148313505919
ACt2r_1,0.999862388,0.6620870758628553
ACt2r,0.999862388,0.6620870758628552
ACOAH,0.999859944,0.7303157870249501
PpGppP,0.99985909,0.75
FTHFDH,0.9998590860000001,0.7324680936237082
POR,0.9998585779999999,0.6172248960421676
GLUDy_1,0.999858,0.8366569101511738
FAS80COA_L,0.9998570359999999,0.9950074915161211
FAS160ACP,0.9998569719999999,0.9538523807919498
FACOAL40t2pp,0.999856672,0.7499999999999999
GP4GH,0.999856536,0.7070883417373395
FORt3,0.999856482,0.7071067811865475
BCOALIG,0.999856194,0.8580882983795587
FDH6,0.9998556620000001,0.8141212275755374
GLYDHDA,0.99985558,0.6834925412092905
PYROX_1,0.999853012,0.5714126061690216
NADS1_1,0.999852888,0.9258373440632376
OCDOR,0.999852834,0.816498753452081
LAAL21,0.9998517720000001,0.6761095507752057
KAS20SA,0.9998517440000001,0.9992955473669638
CTPS1,0.999850622,0.8215671721230768
ASPt2_3,0.9998505879999999,0.8944271909999159
ASPt2_2,0.9998505879999999,0.9486832980505138
FAS141,0.9998504819999999,0.95918345626191
METNA,0.999849388,0.5999791384166923
RNAS_LLA,0.999849274,0.7307501161031883
LAAL8,0.999849066,0.5962701087544152
GLUGLUr,0.99984898,0.6123724356957946
FACOAL161,0.9998479020000002,0.7216878364870323
FACOAL180,0.999847122,0.7216878364870323
ATPATF1,0.9998464819999999,0.7070883417372942
GLUDxi,0.99984547,0.7559211238153813
SO3t,0.999844738,0.6620870758628552
OXADC,0.999844478,0.6859943405700353
C140SN,0.999843212,0.996892004896201
ACP1_FMN,0.9998427340000001,0.7069654022425799
SERabcpp,0.9998423000000001,0.8451479579217535
DES2_C16,0.999842132,0.7679837609060491
PRPPP,0.9998417739999998,0.6761095507751547
HCITS,0.999841668,0.6666666666666667
SERabc,0.999841572,0.8451479579217535
FACOAL181,0.9998407200000001,0.7216878364870323
3SPYRSP,0.999840714,0.5787460709779828
ASPO2,0.999840066,0.8081150474492449
FRDO6r,0.999839522,0.7746168681193956
GLUK,0.999838776,0.7999895692084456
ALDD18,0.9998387659999999,0.8571385490901453
BIRA,0.9998387,0.8451479579217778
PFK_ppi,0.999838394,0.6761095507751175
ETOHMO,0.999837014,0.7679837609060489
TRE6PSP_c,0.9998364540000001,0.676109550775136
AMID_1,0.9998346360000001,0.5975898153260268
SUCBZL_1,0.9998336480000001,0.9258373440632102
ASPO2y,0.999832632,0.7991152285003296
AASAD2,0.999831912,0.6324720243484304
FMNRy_1,0.999829918,0.9486874220701388
DPCOAK_1,0.999829778,0.8944505146551442
AKGt2r_1,0.9998284359999999,0.6620870758628553
HMR_0188,0.99982594,0.7216878364870323
FACOAL141,0.9998254839999999,0.7216878364870323
AHGDx,0.9998251940000001,0.7027493975588879
ARHGDx,0.9998251940000001,0.7027493975588959
ALDD31_1,0.9998248559999998,0.8165084093258824
FAH1,0.999824628,0.7559309575162815
OPAH,0.999824516,0.8485502641860031
GTPDPK_1,0.9998243199999999,0.8944505146551258
UMPK4,0.999823432,0.5
GLUVESSEC,0.99982293,0.8451479579217568
PACL,0.99982292,0.9258373440632376
RE1342C,0.9998218940000001,0.7999895692083452
G3PD,0.9998199620000001,0.5
FRDO5r,0.9998195899999999,0.868242147036466
ALDD12,0.9998182200000001,0.8571385490901391
AASAD1,0.9998177500000001,0.5773502691896258
GDR,0.999817264,0.7499999999999999
FACOAL180_1,0.999816028,0.6666666666666667
FACOAL180_2,0.999816028,0.6666666666666667
PYK4,0.999815512,0.5999791384167006
GLCS2,0.9998149959999999,0.6708087337037151
RE2640C,0.9998131600000001,0.5
FACOAL18111Z,0.99981203,0.6666666666666667
FACOAL181_2,0.99981203,0.6666666666666667
SUCCt3pp,0.9998110520000001,0.6737221598223753
SUCCtpp,0.9998110520000001,0.9486832980505138
PGAM1_PhosHydro,0.9998107920000001,0.7069654022425799
SBTR,0.9998104720000001,0.7159782094997408
ACt5pp,0.999810382,0.8521986140666751
ACt2ipp,0.999810382,0.6737221598223753
ACt2rpp,0.999810382,0.6737221598223753
GMP5N,0.9998103700000002,0.8944505146551416
unkFol,0.999810238,0.7453473541466762
2AMACHYD,0.9998097659999999,0.7559430259228399
NH3c,0.99980948,0.6963037462407015
FACOALP70t2pp,0.9998076379999998,0.7499999999999999
FACOALP60t2pp,0.9998076379999998,0.7499999999999999
FACOALP50t2pp,0.9998076379999998,0.7499999999999999
FACOALP100t2pp,0.9998076379999998,0.7499999999999999
FACOAL50It2pp,0.9998076379999998,0.7499999999999999
FACOAL90t2pp,0.9998076379999998,0.7499999999999999
FACOALT60t2pp,0.9998076379999998,0.7499999999999999
FACOAL181d11tpp,0.9998076379999998,0.7499999999999999
FACOALP90t2pp,0.9998076379999998,0.7499999999999999
FACOAL70t2pp,0.9998076379999998,0.7499999999999999
FACOAL182t2pp,0.9998076379999998,0.7499999999999999
FACOAL181d6t2pp,0.9998076379999998,0.7499999999999999
FACOAL50t2pp,0.9998076379999998,0.7499999999999999
FACOALP80t2pp,0.9998076379999998,0.7499999999999999
FACOAL40It2pp,0.9998076379999998,0.7499999999999999
GTPCI_2,0.9998073139999999,0.9486874220701969
ADNK3,0.9998063460000001,0.5999791384167489
GLYALDDy,0.99980549,0.861854654516216
FAS180ACP,0.9998048799999999,0.9538523807919499
LYSMO,0.9998048519999999,0.5046622425152513
FORA,0.9998045359999999,0.6527413160114615
DALAabcpp,0.999803672,0.8451479579217771
FA181ACPH,0.9998035200000001,0.7234514551350115
FRD,0.999803372,1.0
OSUCCL,0.999802756,0.6859943405700353
BARB,0.999802362,0.758193553252112
CELLSYN,0.999801998,0.5476892296083967
NTPP9_1,0.9998014660000001,0.8944505146551344
NAt3_0_5,0.99980114,0.9486832980505138
PC,0.999800818,0.7142750707793524
SULO,0.99980078,0.5477368402687175
MCDC,0.9997989259999999,0.471425009067998
FAS120ACP,0.999798818,0.9538523807919556
G1Dx,0.9997987519999999,0.7027493975589023
G6PDH1,0.9997974660000001,0.7027493975589025
FA180ACPH,0.9997973120000001,0.632430792755161
G6PDH2c,0.999795836,0.9999999999999332
HMR_0200,0.9997955879999999,0.6666666666666667
GLNt2r,0.999795312,0.6620870758628552
COORr,0.9997934,0.5477368402687272
ALAD_L2,0.9997931399999999,0.8131483135059234
CYSabc,0.9997913439999999,0.8571375353896911
NOS1,0.9997894500000001,0.7559309575162818
NTRIRx,0.999788908,0.962906834137549
IDPA,0.999788848,0.6761095507751794
C160SN,0.999788066,0.9966591854612639
HMR_0253,0.999787886,0.8451479579217535
GLYK1,0.999786222,0.8944505146551277
13GS,0.999786134,0.6708087337037058
16GS,0.999786134,0.670808733703706
IPDAB,0.999785284,0.7505116834105022
HMR_0305,0.999785284,0.6761095507752315
FADD3,0.999785284,0.7505116834104929
CACOAL,0.999785284,0.6761095507752335
PALMCL,0.999785284,0.6172248960421575
GCALDDy,0.9997846840000001,0.8618546545162162
UDPGP,0.99978462,0.7499674012257103
CYTK7,0.999782326,0.5
GTHRDt2_1,0.99978155,0.857137535389656
APSR,0.999779538,0.7777198168434751
NTRIRy,0.999779378,0.9366913469031631
C120SN,0.9997780540000001,0.9969876369773444
ALDD4,0.9997774140000001,0.857138549090136
C161SN,0.9997757839999999,0.9955262516888621
SADT,0.999775366,0.6761095507751714
SALCOD,0.99977418,0.7753089471333596
AIRC1,0.99977225,0.8090353599133668
DESAT18a,0.999771312,0.7679837609060489
DES2_9,0.999771312,0.7679837609060489
NTP8,0.9997709880000001,0.676109550775178
FAS240_L,0.9997684079999999,0.9925663999300596
BGLK,0.9997683540000001,0.7142750707793184
STFRNS,0.999768334,0.7905900304355451
GTPCIII,0.9997657400000002,0.8574995021585272
NTP4,0.9997636059999999,0.6761095507751763
LAAL19,0.9997627360000001,0.7142750707793694
GLYVESSEC_1,0.9997618599999999,0.8451479579217562
GLYabc,0.9997618599999999,0.85713753538966
GLYVESSEC,0.9997618599999999,0.551670136251523
TTDCEAATP,0.9997618019999999,0.8451479579217535
LCADi_D,0.999761614,0.8571385490901449
6HNACMO,0.9997613120000001,0.7753089471333601
AIRCra,0.99976057,0.8090353599133668
ACTLMO,0.9997593980000001,0.7679837609060489
PHEPS,0.9997563020000001,0.7999791373284822
SELNPS_cho,0.9997563020000001,0.7999791373284915
ADEt2,0.999755266,0.6620870758628552
C141SN,0.999753692,0.995676396498343
LAAL20,0.9997533799999999,0.7142750707793539
METTRS_1,0.9997523039999999,0.676109550775206
7OHOCTAc,0.9997505239999999,0.7559309575162825
PFK_adp,0.9997501920000001,0.5751938878175907
THRS_2,0.999748894,0.8944505146551064
FPGS_1,0.999748726,0.6286212009197769
SSCOARy,0.999748308,0.7385511343085528
SPODM,0.9997466319999999,0.8451416605989308
NTP6,0.9997463480000001,0.6761095507751756
CPK1,0.9997455900000001,0.6123724356957947
CYSO_I,0.9997455499999999,0.7303157870249543
FCSTOLS_c,0.99974502,0.8860906830783141
MCAO_c,0.99974502,0.8860906830783134
DESAT16_2,0.9997423399999998,0.7378754766500724
DESAT18_3,0.9997421360000001,0.7378754766500724
DESAT14,0.9997414040000001,0.7679837609060489
NO2tabcpp,0.999740952,0.8451479579217538
OPHHX3,0.999740178,0.920356104324926
DESAT18_5,0.999738436,0.7378754766500724
HDH,0.9997381259999999,0.9897639071056353
TTDCEAc,0.9997378300000002,0.7999895692083319
HMR_0201,0.9997378300000002,0.7999895692083704
DESAT16,0.999737598,0.7679837609060491
ALDD3,0.9997373279999999,0.8571385490901453
CYSt2r,0.999737266,0.6620870758628552
C181SN,0.999736288,0.9953423405238596
LAAL1,0.999735246,0.7559211238153547
DESAT18,0.9997330660000001,0.7679837609060489
IPDPS_syn,0.99973304,0.7911570975008941
TRPAS1,0.9997325,0.9128788663203781
DMPSS_c,0.99973207,0.8571354445898631
GLUMETr,0.999731566,0.5000072433849897
UAMRH,0.999731448,0.7559309575162811
OCTD,0.999730216,0.7324680936237042
GAPDi_nadp,0.9997285760000001,0.6666666666666667
HEX1_1,0.999728178,0.8944505146551311
METSR_R2,0.9997279280000001,0.75
LAAL37,0.99972777,0.7126841077115822
CYSTA,0.9997261719999999,0.5000072433849908
SQD1,0.9997258780000001,0.5787460709779397
METSR_S2,0.9997252400000001,0.75
NTP2,0.9997252099999999,0.6761095507751754
METOX,0.9997251659999999,0.6666666666666667
LAAL5,0.999724752,0.7559211238153243
ALOX,0.99972453,0.732463242781447
DESATPE160,0.9997244679999999,0.8329953442532129
DMPPS_syn,0.999723902,0.7911570975008941
OMPHHX3,0.9997238460000002,0.920356104324926
OMMBLHX3,0.9997238460000002,0.920356104324926
HMR_2284,0.999723088,0.7679837609060491
HMR_2282,0.999723088,0.7679837609060491
HMR_2281,0.999723088,0.7679837609060491
4HPAOX,0.9997210940000001,0.857137535389634
TRIOK,0.999721088,0.6324353744416313
HMR_3996,0.9997209440000001,0.5555972045477771
METOX1s,0.9997207060000001,0.75
HMR_2287,0.999720642,0.7679837609060491
ALKP_1,0.9997203459999999,0.6761095507751764
AMID4,0.99971961,0.56695726944213
CYSCYSr,0.999719348,0.6123724356957946
HMR_0156,0.999719106,0.6666666666666667
FMETDF_1,0.999717704,0.5
FMETDF,0.999717704,0.5
4HBHYOX,0.9997173500000001,0.7559309575162734
DESAT14_9,0.99971733,0.7378754766500724
DNADDP,0.99971672,0.7499674012257139
NDP8,0.9997157160000001,0.6761095507751778
CHLabc_rev,0.999715424,0.8451479579217748
SPODM_1,0.9997152039999999,0.6546780584990781
ALDD8,0.999713152,0.8571385490901453
HMR_2293,0.99971268,0.7679837609060489
HMR_2292,0.99971268,0.7679837609060491
HMR_2295,0.99971268,0.7679837609060491
HMR_2296,0.99971268,0.7679837609060491
DHFR2i,0.999712504,0.702749397558887
NFORGLUAH,0.999710112,0.8109063092703817
DESATPG160,0.999709832,0.8329953442532129
3HPPPNOHc,0.999709236,0.7559309575162722
LHIST,0.9997091920000001,0.8944245995389972
HISTDb,0.9997091920000001,0.8944245995389972
HISTDb_1,0.9997091920000001,0.8216052604030715
PGLYCP_1,0.9997088319999999,0.8944505146551436
C180SN,0.9997087020000001,0.9963981733690432
E4POR1,0.9997082479999999,0.8888856695833445
PHEPC,0.9997081600000002,0.6666666666666667
DESAT18_4,0.99970792,0.7378754766500724
DESAT18_11,0.99970792,0.7378754766500724
FE2GTPabc,0.999707774,0.8451479579217452
NTD1_1,0.9997076619999999,0.8944505146551338
CMPA_1,0.9997050920000001,0.8040252224545791
UDPACGA6D,0.99970484,0.9263673812660258
FASm1601,0.999704696,0.9327638057909278
HMR_1754,0.999703914,0.6172248960421739
ACTNMO,0.9997034319999999,0.7559309575162795
FAS100ACP,0.999702636,0.9538523807919499
LAAL22,0.9997021180000001,0.6761095507752057
UAG2EMA,0.9997019899999999,0.599979138416595
CYTB_B2,0.9997013979999998,0.8451535551088185
CYTB_B3,0.9997013979999998,0.9018598702727474
CYOO3,0.9997013979999998,0.8671293100605174
ACTD2,0.99970105,0.6782588784281884
CYTDK2_1,0.999700882,0.8944505146551313
FACOAL60i,0.9997003,0.7216878364870323
MLTHFte1,0.999699504,0.8451479579217535
GLNTRS2,0.9996990200000001,0.7142750707793667
MNDNS2,0.999697902,0.9234250224490116
FE2Gabcpp,0.999696264,0.8451479579217452
DESAT18_2,0.9996952159999999,0.7679837609060489
HMR_2359,0.9996952159999999,0.7679837609060491
HCYStabcpp,0.999694932,0.8451479579217538
CBMK4,0.999693156,0.8165084093258892
DGTP8DETOX,0.999692248,0.650785051274923
RPNTPH,0.999692248,0.6507850512749133
TAPTPP,0.999692248,0.6507850512749175
ALDD10,0.9996908440000001,0.8571385490901386
DESAT18_6,0.9996897819999999,0.7378754766500724
MNDNS1,0.9996892519999999,0.9363817370348788
MSULR,0.999688806,0.9555552980170863
4ABUTabcpp,0.99968863,0.8451479579217683
34DHALDD,0.9996886,0.8571385490901255
UMPt6,0.999687912,0.6620870758628552
PDE3,0.99968764,0.6708378859913506
NDH_1,0.999685546,0.8775249714932901
APPAT,0.999685292,0.9486874220701019
DUTPDP_1,0.999685184,0.8944505146551338
FTHFI,0.99968471,0.84514795792177
GLCURDH,0.999682094,0.8571385490901435
CITabc,0.9996814220000001,0.8451479579217744
MI1PP_1,0.999681228,0.8944505146551256
RIBFLVt3,0.9996811000000001,0.8451479579217535
RIBFLVt3o,0.9996811000000001,0.8451479579217535
FACOAL80,0.9996809900000001,0.7216878364870323
GABAVESSEC,0.9996805839999998,0.5212889901365605
GABAVESSEC_1,0.9996805839999998,0.8451479579217683
GDPMANNDH,0.9996775320000001,0.9263673812660262
FE3abcpp,0.9996770679999999,0.8571375353896737
HKt,0.9996747920000001,0.8571375353896679
X00002,0.9996746200000001,0.6996062283593674
AKGCAL,0.9996744399999999,0.5999791384167372
DBTS,0.9996736179999999,0.797026089262801
VALDHr,0.999673614,0.6834925412092819
34DHPLACOX_NADP,0.999672846,0.8618546545161974
HCO3abc,0.999672208,0.857137535389655
VNDH_2,0.999671972,0.8571385490901273
TYMc,0.999671908,0.7559309575162811
AACOAT,0.9996712640000001,0.6666666666666667
BAMPPALDOX,0.9996693000000001,0.857138549090136
ALDD22x,0.9996693000000001,0.8571385490901351
FRUabc,0.9996682339999999,0.845147957921761
LAAL32,0.999667588,0.6761095507752057
OPHHXy,0.999666794,0.755930957516271
GUAD_1,0.999666422,0.9486874220701006
FAH3_1,0.9996663739999999,0.6415347348552065
GALURDH,0.99966601,0.8571385490901431
GTHOXti2,0.9996659939999999,0.8451479579217542
FRD2rpp,0.9996656140000001,0.8606654594257501
LAAL10,0.9996653199999999,0.5962701087544123
AMPEP14,0.9996651059999999,0.4743024780977043
FDH7,0.9996650020000001,0.5975898153260482
GGGABADxr,0.9996643119999999,0.8571385490901435
DPCOAPP,0.9996642720000001,0.749967401225714
MAK,0.99966303,0.6324353744416268
ALDD6,0.9996629300000001,0.8571385490901449
DTPH,0.9996620479999999,0.6761095507751778
r1382_1,0.9996606619999999,0.8404912190560717
FPGS,0.9996606619999999,0.8347771206493292
THFGLUS,0.9996606619999999,0.7142750707793692
HMR_0180,0.9996605199999999,0.7216878364870323
THMDP,0.999660452,0.8526424620514017
FASC201ACP,0.99965847,0.9028990163427819
INOSTO,0.999658414,0.5528442063250703
TMDPK,0.9996578340000001,0.5999791384167206
HMR_4079,0.999655898,0.8618546545162078
DESAT18_8,0.9996553300000001,0.7378754766500724
SHL_c,0.9996545539999999,0.599979138416717
4HALDD,0.9996542359999999,0.8571385490901273
ASPMETASPr,0.9996538100000001,0.6324555320336759
AGMabcpp,0.9996534,0.8451479579217765
RE2649C,0.999652148,0.7303157870249394
LAAL3,0.99965112,0.7142750707793459
BZDH,0.999650884,0.8571385490901362
MMSAD3,0.9996505680000001,0.8333333333333335
UDPGALOR,0.999650396,0.9263673812660258
BSORx,0.999649754,0.7581935532521119
ALDD19x_P,0.999649722,0.8618546545162169
THFOR1,0.999647732,0.8399555724233398
FPGS7_1,0.999647446,0.628621200919778
SQLS,0.9996468220000001,0.4999550690731607
AACLAM,0.9996466640000001,0.6123724356957947
ARGSS_1,0.9996461,0.9561882311820137
CTPS1_2,0.999645688,0.7637531318616665
SACCD_c,0.999645256,0.7324680936237042
LAAL42,0.9996452419999999,0.6761095507752127
MTHFR3_1,0.99964438,0.9486874220701454
MSO3abc,0.9996421,0.857137535389655
LAAL6,0.9996419980000001,0.7142750707793115
LAAL7,0.9996419980000001,0.714275070779386
MDHi2,0.9996414259999999,1.0
GLYOX3,0.9996407520000001,0.6708378859913492
THMATPe,0.99964068,0.8451479579217535
4HOXPACDOX_NADP,0.9996400920000001,0.8618546545161991
ALDD32,0.9996384419999998,0.8772008009778299
GLACO,0.9996384419999998,0.8772008009778299
DAPabc,0.999638088,0.857137535389676
RIBt2,0.9996380300000001,0.6620870758628552
ADPMAN,0.9996374400000001,0.7499674012257146
METSOX2abc,0.9996367640000001,0.857137535389655
GMPt6,0.9996367380000001,0.6620870758628552
UAD,0.999636232,0.5787460709779032
CBPSam_1,0.999635788,0.8838764336693627
HPA3MOFAD,0.9996353539999999,0.8660254037844388
NTP9,0.9996352780000001,0.6761095507751778
MTHFR2_1,0.999634954,0.948687422070146
FEENTER2tpp,0.9996349,0.845147957921765
BSORy,0.9996335479999999,0.7911570975008941
PALDH,0.999633072,0.7069654022425799
PALDP,0.999633072,0.7069654022425799
ALAALACNc,0.9996329420000001,0.6123724356957946
MI4PP_2,0.9996325699999999,0.7499674012257126
MI4PP_1,0.9996325699999999,0.6761095507751816
MI3PP_2,0.9996325699999999,0.7499674012257126
MI3PP_1,0.9996325699999999,0.6761095507751816
ASPO1,0.9996306620000001,0.6666666666666667
BCOALIG2,0.999630386,0.6666666666666667
THFOR2,0.9996293379999999,0.8557672036319236
ASNabcpp,0.9996286920000002,0.8451479579217791
FAS140COA,0.99962813,0.9538523807919498
NDP4,0.9996273600000001,0.6761095507751761
PALFATPtc,0.999626704,0.7216878364870323
MOBDabc_rev,0.9996264079999999,0.8451479579217535
Cobalt2abcppI,0.9996263479999999,0.8571375353896951
Cut1,0.99962588,0.8571375353896921
Cuabc,0.99962588,0.857137535389692
FAS160COA,0.999625704,0.9538523807919499
SER_AL,0.99962518,0.5773000800932296
SS,0.9996248959999999,0.6536137395585795
HMR_1467,0.9996248959999999,0.6536137395585796
RN0020C,0.999624788,0.7559309575162769
HMR_2393,0.999624788,0.7679837609060489
7KLITCHOLc,0.999624788,0.7679837609060489
C4STMO2,0.999624788,0.8748184032699076
C5STDS,0.999624788,0.7679837609060489
C4STMO1,0.999624788,0.8748184032699091
HMR_2368,0.999624788,0.7679837609060489
C22STDS,0.999624788,0.7679837609060489
HMR_2380,0.999624788,0.7679837609060489
HMR_2365,0.999624788,0.7679837609060489
HMR_2289,0.999624788,0.7679837609060489
HMR_2288,0.999624788,0.7679837609060489
HMR_2007,0.999624788,0.7559309575162829
HMR_1993,0.999624788,0.7559309575162821
C14825c,0.999624788,0.7559309575162876
HMR_1477,0.999624788,0.7559309575162889
HMR_0981,0.999624788,0.7559309575162766
RN0001C,0.999624788,0.7559309575162825
DOPAc,0.999624788,0.7559309575162815
4MZYMR,0.999624788,0.7679837609060489
PSPHS,0.999624788,0.7559309575162811
CDCA6AH,0.999624788,0.7559309575162914
MPOMOR_1,0.999624788,0.7679837609060491
FAH4,0.999624788,0.7559309575162811
21HPRGNLONE,0.999624788,0.7559309575162828
25HVITD3c,0.999624788,0.7559309575162698
MPOMC1,0.999624788,0.7559309575162824
EPISTLDS_c,0.999624788,0.7679837609060489
AND19ONEc,0.999624788,0.7559309575162816
